input_condition,model,model_name,layer,pooling,fragmentation_category,spearman_rho,p_value,n_pairs,total_pairs,category_share,rank_within_configuration
contextual,XLM-R,xlm-roberta-base,1,last,split,0.0431185805528461,0.3856063440133962,407,500,0.814,2
contextual,XLM-R,xlm-roberta-base,1,mean,clean,0.1739942043441919,0.0953167940215888,93,500,0.186,1
contextual,XLM-R,xlm-roberta-base,1,mean,split,-0.025491653644579,0.6081077429936625,407,500,0.814,2
contextual,XLM-R,xlm-roberta-base,1,max,clean,0.1204001079395888,0.2503166449099248,93,500,0.186,1
contextual,XLM-R,xlm-roberta-base,1,max,split,-0.0793190714203122,0.1100877693615027,407,500,0.814,2
contextual,XLM-R,xlm-roberta-base,7,first,clean,0.3126670627013948,0.0022780519347358,93,500,0.186,1
contextual,XLM-R,xlm-roberta-base,7,first,split,0.1838528191508111,0.0001918428945443,407,500,0.814,2
contextual,XLM-R,xlm-roberta-base,7,last,clean,0.2522803997608323,0.0147035668912411,93,500,0.186,1
contextual,XLM-R,xlm-roberta-base,7,last,split,0.1509490733428337,0.0022624065600639,407,500,0.814,2
contextual,XLM-R,xlm-roberta-base,7,mean,clean,0.2948944243254394,0.0041112118233362,93,500,0.186,1
contextual,XLM-R,xlm-roberta-base,7,mean,split,0.0849818283482037,0.0868470005408754,407,500,0.814,2
contextual,XLM-R,xlm-roberta-base,7,max,clean,0.2733821421752909,0.0080145135496009,93,500,0.186,1
contextual,XLM-R,xlm-roberta-base,7,max,split,0.057360576392255,0.2482551602015393,407,500,0.814,2
contextual,XLM-R,xlm-roberta-base,12,first,clean,0.2259685348825278,0.0294102938622292,93,500,0.186,1
contextual,XLM-R,xlm-roberta-base,12,first,split,0.0824649978538479,0.0966366080090353,407,500,0.814,2
contextual,XLM-R,xlm-roberta-base,12,last,clean,0.1632977781397635,0.1178160735787363,93,500,0.186,1
contextual,XLM-R,xlm-roberta-base,12,last,split,0.0709445276936636,0.1531046547648917,407,500,0.814,2
contextual,XLM-R,xlm-roberta-base,12,mean,clean,0.2189371088639851,0.034992112807602,93,500,0.186,1
contextual,XLM-R,xlm-roberta-base,12,mean,split,0.0896404084176314,0.07083973020147,407,500,0.814,2
contextual,XLM-R,xlm-roberta-base,12,max,clean,0.1852952436139091,0.0753730167401728,93,500,0.186,1
contextual,XLM-R,xlm-roberta-base,12,max,split,0.0664944847527753,0.1806253548273702,407,500,0.814,2
