input_condition,model,model_name,layer,pooling,fragmentation_category,spearman_rho,p_value,n_pairs,total_pairs,category_share,rank_within_configuration
contextual,BERTurk,dbmdz/bert-base-turkish-cased,12,last,both_words_split,0.08156927525373141,0.40811767394842313,105.0,500,0.21,3
contextual,BERTurk,dbmdz/bert-base-turkish-cased,12,mean,both_words_split,0.11503184746357409,0.24260542555783898,105.0,500,0.21,3
contextual,BERTurk,dbmdz/bert-base-turkish-cased,12,max,both_words_split,0.07882481010457544,0.424122298495339,105.0,500,0.21,3
contextual,mBERT,bert-base-multilingual-cased,1,first,clean,-0.2657342657342658,0.40383308831471165,12.0,500,0.024,3
contextual,mBERT,bert-base-multilingual-cased,1,last,clean,-0.07692307692307693,0.8121826980280591,12.0,500,0.024,3
contextual,mBERT,bert-base-multilingual-cased,1,mean,clean,-0.2377622377622378,0.4568008526399232,12.0,500,0.024,3
contextual,mBERT,bert-base-multilingual-cased,1,max,clean,-0.18181818181818185,0.5717012385276553,12.0,500,0.024,3
contextual,mBERT,bert-base-multilingual-cased,7,first,clean,0.0,1.0,12.0,500,0.024,3
contextual,mBERT,bert-base-multilingual-cased,7,last,clean,0.034965034965034975,0.9140933424107598,12.0,500,0.024,3
contextual,mBERT,bert-base-multilingual-cased,7,mean,clean,0.0,1.0,12.0,500,0.024,3
contextual,mBERT,bert-base-multilingual-cased,7,max,clean,0.034965034965034975,0.9140933424107598,12.0,500,0.024,3
contextual,mBERT,bert-base-multilingual-cased,12,first,clean,-0.35664335664335667,0.25513775175895725,12.0,500,0.024,3
contextual,mBERT,bert-base-multilingual-cased,12,last,clean,-0.34965034965034975,0.2652387868927897,12.0,500,0.024,3
contextual,mBERT,bert-base-multilingual-cased,12,mean,clean,-0.3076923076923077,0.3305892594121097,12.0,500,0.024,3
contextual,mBERT,bert-base-multilingual-cased,12,max,clean,-0.34965034965034975,0.2652387868927897,12.0,500,0.024,3
contextual,mBERT,bert-base-multilingual-cased,1,first,one_word_split,0.15829157118177728,0.14548941156265696,86.0,500,0.172,1
contextual,mBERT,bert-base-multilingual-cased,1,last,one_word_split,-0.015821600532848607,0.8850381428689604,86.0,500,0.172,2
