input_condition,model,model_name,layer,pooling,spearman_rho_full_canonical,p_value_full_canonical,n_pairs_full_canonical,total_n_pairs,clean_pairs,split_pairs,one_word_split_pairs,both_words_split_pairs,clean_pair_percentage,split_pair_percentage,one_word_split_percentage,both_words_split_percentage,mean_pair_total_subtoken_count,median_pair_total_subtoken_count,mean_pair_max_subtoken_count,mean_pair_avg_subtoken_char_length,full_n_pairs,full_spearman_rho,full_p_value,clean_n_pairs,clean_spearman_rho,clean_p_value,split_n_pairs,split_spearman_rho,split_p_value,one_word_split_n_pairs,one_word_split_spearman_rho,one_word_split_p_value,both_words_split_n_pairs,both_words_split_spearman_rho,both_words_split_p_value,isolated_spearman_rho_same_config,contextual_spearman_rho_same_config,contextual_minus_isolated,mean_word1_context_sentence_count,mean_word2_context_sentence_count,rank_within_input_condition,rank_within_model_and_input,is_best_global,is_best_within_input_condition,is_best_within_model_and_input
contextual,BERTurk,dbmdz/bert-base-turkish-cased,1,max,0.1834385772335981,3.6814574980274313e-05,500,500,225,275,170,105,45.0,55.0,34.0,21.0,3.092,3.0,1.826,4.613028571428571,500,0.1834385772335981,3.6814574980274313e-05,225,0.5343187609658001,5.2033081390151085e-18,275,0.0151845693458354,0.8020653378695982,170,0.2641605492804604,0.0004998063895128895,105,-0.03908244073091972,0.6922280448201957,0.232725576355916,0.1834385772335981,-0.049286999122317904,14.794,14.742,16,12,False,False,False
contextual,BERTurk,dbmdz/bert-base-turkish-cased,7,first,0.5275383971276283,3.630230351379531e-37,500,500,225,275,170,105,45.0,55.0,34.0,21.0,3.092,3.0,1.826,4.613028571428571,500,0.5275383971276283,3.630230351379531e-37,225,0.5755713898938393,3.0057541905240864e-21,275,0.41028675598603487,1.3672116363561315e-12,170,0.4936493874899537,7.914458930970101e-12,105,0.318646021392177,0.0009234614561162774,0.3150506288789555,0.5275383971276283,0.21248776824867277,14.794,14.742,1,1,True,True,True
contextual,BERTurk,dbmdz/bert-base-turkish-cased,7,last,0.4139007002759023,4.0854903464803014e-22,500,500,225,275,170,105,45.0,55.0,34.0,21.0,3.092,3.0,1.826,4.613028571428571,500,0.41390070027590237,4.085490346480301e-22,225,0.5739180793387026,4.13612411893853e-21,275,0.22691732405610474,0.00014735430956092652,170,0.3560095431496094,1.8923704686413722e-06,105,0.06826071429188912,0.4890008183496447,0.2872278841796387,0.4139007002759023,0.12667281609626363,14.794,14.742,6,6,False,False,False
contextual,BERTurk,dbmdz/bert-base-turkish-cased,7,mean,0.4260247203619244,1.827595555839097e-23,500,500,225,275,170,105,45.0,55.0,34.0,21.0,3.092,3.0,1.826,4.613028571428571,500,0.42602472036192446,1.827595555839097e-23,225,0.5733914029214254,4.577144876939152e-21,275,0.3001076857140047,3.94832502563489e-07,170,0.4754882496460451,5.6649191973805715e-11,105,0.17786124427516792,0.06948994761859324,0.3051037651814941,0.4260247203619244,0.12092095518043028,14.794,14.742,5,5,False,False,False
contextual,BERTurk,dbmdz/bert-base-turkish-cased,7,max,0.3376567653693514,8.465374298774332e-15,500,500,225,275,170,105,45.0,55.0,34.0,21.0,3.092,3.0,1.826,4.613028571428571,500,0.33765676536935146,8.465374298774332e-15,225,0.5764639456240198,2.5280253051319675e-21,275,0.13961425183723494,0.02055559151867862,170,0.35355094092928646,2.2520840564344735e-06,105,0.15504656834058114,0.11426662606071353,0.2802605505670726,0.3376567653693514,0.0573962148022788,14.794,14.742,9,9,False,False,False
contextual,BERTurk,dbmdz/bert-base-turkish-cased,12,first,0.4526485971827697,1.2598318235046884e-26,500,500,225,275,170,105,45.0,55.0,34.0,21.0,3.092,3.0,1.826,4.613028571428571,500,0.45264859718276973,1.2598318235046885e-26,225,0.5026243336846447,8.311301350444276e-16,275,0.3009499019477249,3.649982408586217e-07,170,0.3891119860699295,1.5702287908362963e-07,105,0.14537808997160798,0.1389471086850267,0.3560348819612285,0.4526485971827697,0.09661371522154116,14.794,14.742,3,3,False,False,False
contextual,BERTurk,dbmdz/bert-base-turkish-cased,12,last,0.407715622058125,1.90000175818101e-21,500,500,225,275,170,105,45.0,55.0,34.0,21.0,3.092,3.0,1.826,4.613028571428571,500,0.40771562205812506,1.90000175818101e-21,225,0.49313097808313144,3.4380866386520493e-15,275,0.2635945200818923,9.42751971756365e-06,170,0.40217731360047343,5.437296445931513e-08,105,0.08156927525373141,0.40811767394842313,0.3406451994872275,0.407715622058125,0.06707042257089751,14.794,14.742,7,7,False,False,False
contextual,BERTurk,dbmdz/bert-base-turkish-cased,12,mean,0.4504409264325345,2.3616422192235264e-26,500,500,225,275,170,105,45.0,55.0,34.0,21.0,3.092,3.0,1.826,4.613028571428571,500,0.4504409264325345,2.3616422192235264e-26,225,0.5152081569118628,1.1808857925677043e-16,275,0.3065661284355972,2.147719105226851e-07,170,0.4877898831001359,1.5125615811634628e-11,105,0.11503184746357409,0.24260542555783898,0.3562642209728675,0.4504409264325345,0.09417670545966705,14.794,14.742,4,4,False,False,False
contextual,BERTurk,dbmdz/bert-base-turkish-cased,12,max,0.3527321114141784,4.2797654263953804e-16,500,500,225,275,170,105,45.0,55.0,34.0,21.0,3.092,3.0,1.826,4.613028571428571,500,0.35273211141417843,4.2797654263953804e-16,225,0.4971108382172917,1.9060168863132175e-15,275,0.11798082030607475,0.050652777560361587,170,0.31737770876284155,2.4744342415455665e-05,105,0.07882481010457544,0.424122298495339,0.3223381707694723,0.3527321114141784,0.030393940644706074,14.794,14.742,8,8,False,False,False
contextual,mBERT,bert-base-multilingual-cased,1,first,0.0974250892106725,0.0293894609548615,500,500,12,488,86,402,2.4,97.6,17.2,80.4,5.496,5.0,3.258,2.5287520202020204,500,0.09742508921067253,0.029389460954861515,12,-0.2657342657342658,0.40383308831471165,488,0.10025446813598542,0.026787802084211523,86,0.15829157118177728,0.14548941156265696,402,0.10598616148184509,0.033637915513761954,0.1359953386270971,0.0974250892106725,-0.03857024941642459,14.794,14.742,26,7,False,False,False
